,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,1,1,1,1,2,2,2,2,3,3,3,3,NAO_1,NAO_1,NAO_1,NAO_2,NAO_2,NAO_2,NAO_3,NAO_3,NAO_3
,,"AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","8392B20CF49E3573200000001","8392B20CF49E3573200000001","8392B20CF49E3573200000001","8392B20CF49E3573200000002","8392B20CF49E3573200000002","8392B20CF49E3573200000002","8392B20CF49E3573200000003","8392B20CF49E3573200000003","8392B20CF49E3573200000003"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z
22,0.183333,-0.000149,0.000026,0.000512,1.000000,0.286922,0.552886,-0.837655,0.000071,0.227650,0.554386,-0.781222,0.858364,0.288441,0.549739,-0.879052,0.912102,0.344676,0.554532,-0.852691,0.802087,0.227689,0.554398,-0.781235,0.288480,0.549738,-0.879083,0.344601,0.554531,-0.852651
23,0.191667,-0.000159,-0.000145,0.000208,1.000000,0.286916,0.552886,-0.837663,0.000038,0.227625,0.554423,-0.781250,0.903955,0.288448,0.549737,-0.879059,0.934774,0.344676,0.554497,-0.852679,0.931250,0.227633,0.554433,-0.781246,0.288472,0.549735,-0.879098,0.344645,0.554497,-0.852644
24,0.200000,0.000098,-0.000066,0.000049,1.000000,0.286900,0.552900,-0.837653,0.000014,0.227618,0.554427,-0.781230,0.966562,0.288423,0.549772,-0.879051,0.984715,0.344658,0.554500,-0.852678,0.964777,0.227625,0.554429,-0.781234,0.288431,0.549771,-0.879062,0.344644,0.554500,-0.852664
25,0.208333,0.000005,-0.000044,0.000079,1.000000,0.286928,0.552880,-0.837661,0.000032,0.227649,0.554415,-0.781236,0.943338,0.288450,0.549745,-0.879059,0.947608,0.344685,0.554481,-0.852689,0.917127,0.227663,0.554417,-0.781236,0.288470,0.549745,-0.879070,0.344653,0.554480,-0.852681
26,0.216667,-0.000060,-0.000030,-0.000019,1.000000,0.286945,0.552867,-0.837671,0.000025,0.227667,0.554421,-0.781244,0.942064,0.288465,0.549726,-0.879068,0.928217,0.344702,0.554455,-0.852700,0.980252,0.227660,0.554423,-0.781224,0.288485,0.549725,-0.879096,0.344685,0.554455,-0.852690
27,0.225000,-0.000213,-0.000091,0.000201,1.000000,0.286917,0.552895,-0.837681,0.000041,0.227632,0.554439,-0.781262,0.922395,0.288444,0.549741,-0.879077,0.915112,0.344675,0.554503,-0.852704,0.917407,0.227642,0.554442,-0.781248,0.288472,0.549741,-0.879098,0.344639,0.554502,-0.852693
28,0.233333,-0.000051,-0.000043,0.000243,1.000000,0.286931,0.552875,-0.837675,0.000044,0.227651,0.554397,-0.781250,0.918848,0.288454,0.549736,-0.879072,0.934390,0.344687,0.554494,-0.852703,0.884710,0.227672,0.554400,-0.781252,0.288480,0.549736,-0.879090,0.344643,0.554493,-0.852687
29,0.241667,-0.000268,-0.000073,0.000322,1.000000,0.286944,0.552875,-0.837676,0.000064,0.227661,0.554411,-0.781255,0.887392,0.288470,0.549718,-0.879072,0.857608,0.344702,0.554496,-0.852701,0.871541,0.227674,0.554415,-0.781228,0.288516,0.549713,-0.879098,0.344645,0.554488,-0.852694
30,0.250000,0.000078,-0.000028,0.000109,1.000000,0.286940,0.552879,-0.837680,0.000038,0.227663,0.554401,-0.781252,0.924816,0.288461,0.549749,-0.879078,0.959249,0.344697,0.554485,-0.852709,0.885958,0.227685,0.554402,-0.781264,0.288481,0.549749,-0.879090,0.344655,0.554485,-0.852684
31,0.258333,-0.000010,-0.000028,0.000016,1.000000,0.286938,0.552885,-0.837667,0.000025,0.227661,0.554429,-0.781240,0.935932,0.288458,0.549748,-0.879065,0.946822,0.344695,0.554479,-0.852697,0.964546,0.227650,0.554428,-0.781219,0.288472,0.549747,-0.879077,0.344693,0.554477,-0.852706
